,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
161,Medium variant,Lower-middle-income countries,e,1501,2050-2055,26.8671,114.5691,133.5482,98.9161,49.7256,13.4361,3.3051
162,Medium variant,Lower-middle-income countries,e,1501,2055-2060,25.1205,108.3326,131.1378,100.2135,50.5214,13.2876,3.1117
163,Medium variant,Lower-middle-income countries,e,1501,2060-2065,23.4686,102.5654,129.0449,101.8418,51.5939,13.1417,2.9145
164,Medium variant,Lower-middle-income countries,e,1501,2065-2070,21.9220,97.1771,127.1447,103.6633,52.7931,13.0623,2.7101
165,Medium variant,Lower-middle-income countries,e,1501,2070-2075,20.4718,92.1309,125.3854,105.4876,53.9738,12.9945,2.5134
166,Medium variant,Lower-middle-income countries,e,1501,2075-2080,19.1257,87.4535,123.8342,107.2987,55.0459,12.9184,2.3230
167,Medium variant,Lower-middle-income countries,e,1501,2080-2085,17.8590,83.0916,122.4815,109.1364,56.0154,12.8125,2.1431
168,Medium variant,Lower-middle-income countries,e,1501,2085-2090,16.6668,78.9402,121.1646,110.9404,56.9312,12.6988,1.9560
169,Medium variant,Lower-middle-income countries,e,1501,2090-2095,15.5220,74.9425,119.8599,112.7077,57.7740,12.5748,1.7745
170,Medium variant,Lower-middle-income countries,e,1501,2095-2100,14.4546,71.1589,118.6485,114.4700,58.5759,12.4507,1.6053
171,Medium variant,Low-income countries,e,1500,2015-2020,97.0882,216.0181,232.2439,182.5025,122.3916,55.6134,18.0362
172,Medium variant,Low-income countries,e,1500,2020-2025,88.7501,201.7805,219.7754,168.7896,110.5311,48.1899,15.6419
173,Medium variant,Low-income countries,e,1500,2025-2030,81.0520,188.7124,208.7815,156.8772,100.7135,41.6729,13.5550
174,Medium variant,Low-income countries,e,1500,2030-2035,73.7571,176.4418,199.6807,147.2555,92.5956,36.4372,11.7243
175,Medium variant,Low-income countries,e,1500,2035-2040,67.0694,164.7798,191.5213,139.6157,86.1607,32.1760,10.2754
176,Medium variant,Low-income countries,e,1500,2040-2045,61.0960,154.0463,183.7993,133.2796,81.1007,28.7795,9.1084
177,Medium variant,Low-income countries,e,1500,2045-2050,55.6635,144.2686,176.5565,127.7379,76.8121,26.0467,8.0557
178,Medium variant,Low-income countries,e,1500,2050-2055,50.7214,135.4321,170.1980,123.1299,72.9412,23.7713,7.1066
179,Medium variant,Low-income countries,e,1500,2055-2060,46.1880,127.3457,164.5703,119.4918,69.5695,21.7594,6.2817
180,Medium variant,Low-income countries,e,1500,2060-2065,42.0726,120.0035,159.6885,116.7588,66.8890,20.0241,5.5503
181,Medium variant,Low-income countries,e,1500,2065-2070,38.3009,113.2077,155.2751,114.7239,64.6755,18.5628,4.8959
