,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
105,Medium variant,Cambodia,,116,1831.192,1751.005,1685.264,1666.716,1662.453,1631.997,1570.743,1505.210,1453.048,1413.205,1377.557,1334.341,1287.228,1242.587,1203.971,1170.072,1139.314
106,Medium variant,Indonesia,,360,24411.984,23630.562,23062.894,22688.239,22299.654,21761.743,21120.745,20445.176,19848.382,19340.774,18905.744,18428.881,17941.209,17456.829,16996.017,16587.665,16220.134
107,Medium variant,Lao People's Democratic Republic,,418,800.984,769.682,734.964,701.363,668.916,636.695,604.528,573.481,544.746,519.803,497.346,475.983,455.779,436.971,419.583,403.615,389.274
108,Medium variant,Malaysia,8,458,2698.856,2748.400,2659.429,2497.714,2367.972,2323.865,2347.790,2368.275,2335.153,2255.892,2171.138,2116.707,2100.567,2097.985,2077.712,2032.011,1977.983
109,Medium variant,Myanmar,,104,4711.965,4690.251,4644.352,4507.159,4311.209,4099.288,3939.801,3840.867,3759.935,3663.066,3542.647,3419.947,3312.176,3230.507,3161.565,3092.309,3014.559
110,Medium variant,Philippines,,608,12096.990,12277.777,12372.958,12407.402,12360.532,12272.217,12147.260,11958.863,11698.920,11432.110,11157.117,10888.728,10615.343,10338.669,10067.247,9799.126,9536.446
111,Medium variant,Singapore,,702,248.968,250.389,248.187,240.791,231.133,222.890,217.564,214.368,211.745,208.051,202.986,197.288,192.461,187.914,183.815,179.545,174.623
112,Medium variant,Thailand,,764,3443.223,3222.287,3165.915,3096.020,2974.071,2843.844,2713.453,2603.830,2535.769,2495.590,2445.964,2381.072,2306.497,2240.712,2188.514,2149.531,2111.368
113,Medium variant,Timor-Leste,,626,225.548,241.330,255.875,265.951,272.131,276.331,279.139,282.137,283.617,283.396,280.100,274.759,269.303,263.120,257.536,251.329,244.522
114,Medium variant,Viet Nam,,704,7792.883,7621.571,6993.359,6506.475,6445.913,6593.646,6653.816,6527.777,6257.777,5986.129,5849.905,5844.939,5850.253,5778.861,5624.191,5452.813,5329.769
115,Medium variant,Western Asia,,922,28210.090,28357.717,28524.882,28811.741,29191.530,29495.101,29579.094,29431.812,29181.193,29013.800,28875.493,28769.490,28575.981,28286.660,27912.973,27503.466,27115.789
116,Medium variant,Armenia,,51,188.535,164.337,145.542,137.092,137.696,137.928,131.303,120.239,110.368,105.005,103.532,102.661,99.651,94.321,88.684,84.621,82.640
117,Medium variant,Azerbaijan,9,31,824.487,719.042,658.689,657.192,666.764,655.943,627.275,594.381,569.989,558.881,552.702,542.960,528.043,510.793,495.282,484.006,476.114
118,Medium variant,Bahrain,,48,109.230,112.380,114.438,115.357,109.156,103.087,100.533,100.636,101.354,100.741,98.720,96.051,94.021,93.332,93.079,92.564,91.214
119,Medium variant,Cyprus,10,196,62.755,59.961,59.244,59.721,60.608,60.878,60.212,59.347,58.837,59.102,59.622,59.849,59.650,59.157,58.605,58.367,58.272
120,Medium variant,Georgia,11,268,253.895,226.798,208.183,202.259,203.911,203.222,193.643,179.026,166.850,160.411,157.704,154.749,148.942,140.725,133.009,127.714,124.454
121,Medium variant,Iraq,,368,6302.977,6788.595,7310.115,7867.859,8436.118,8971.091,9444.911,9870.750,10244.318,10623.161,10932.303,11194.510,11376.607,11500.129,11560.709,11561.691,11531.915
