,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
145,Estimates,Ukraine,14,804,4935.760,4953.415,3930.501,3506.604,3708.427,3734.621,3784.353,3527.100,2857.650,2184.348,2012.386,2401.612,2444.029
146,Estimates,Northern Europe,15,924,6478.220,6809.463,7493.605,7202.286,6263.894,5689.630,5877.432,6257.897,6124.686,5694.641,5451.648,6100.562,6187.425
147,Estimates,Channel Islands,16,830,7.558,8.043,9.512,9.433,8.344,7.513,7.603,8.336,8.765,8.305,8.085,7.821,7.727
148,Estimates,Denmark,,208,387.267,380.297,405.052,391.155,360.527,313.165,265.229,289.072,332.439,333.879,322.613,322.398,292.728
149,Estimates,Estonia,,233,95.810,98.650,97.240,99.772,108.930,109.465,114.535,120.735,83.894,64.783,66.693,77.529,71.181
150,Estimates,Finland,17,246,462.212,421.591,410.125,365.391,301.289,321.755,323.446,311.039,325.476,295.618,285.828,298.016,292.788
151,Estimates,Iceland,,352,20.955,23.520,23.826,21.901,22.151,21.335,21.187,21.374,22.501,21.167,20.631,23.108,22.481
152,Estimates,Ireland,,372,318.348,301.134,314.940,306.256,363.770,364.490,342.107,278.311,247.510,270.776,310.685,356.425,358.493
153,Estimates,Latvia,,428,167.286,173.247,170.456,163.323,175.447,172.275,192.079,204.288,146.325,98.307,103.757,114.464,104.345
154,Estimates,Lithuania,,440,298.651,302.978,290.553,272.262,270.515,260.737,272.269,286.943,247.542,188.658,153.161,156.606,158.055
155,Estimates,Norway,18,578,312.349,316.468,318.158,333.367,313.762,260.689,253.196,279.245,299.766,297.370,283.333,300.048,298.829
156,Estimates,Sweden,,752,548.103,531.236,565.182,583.720,548.999,482.900,471.925,548.445,589.201,459.153,483.913,547.326,573.474
157,Estimates,United Kingdom,,826,3852.018,4244.825,4880.874,4647.677,3782.919,3368.354,3606.937,3902.252,3813.224,3648.991,3405.544,3889.075,3999.627
158,Estimates,Southern Europe,19,925,11770.402,11927.604,12333.510,12106.618,11774.131,10874.195,9407.879,8368.114,7755.183,7362.235,7462.326,7695.721,7004.632
159,Estimates,Albania,,8,264.644,316.098,347.044,340.816,346.607,352.999,372.760,404.909,368.313,290.705,224.418,179.589,176.621
160,Estimates,Bosnia and Herzegovina,,70,526.459,505.516,510.041,458.115,434.394,394.720,381.702,355.749,284.645,239.599,180.176,175.912,164.630
161,Estimates,Croatia,,191,442.253,401.051,364.561,327.076,333.927,329.279,328.046,296.557,247.397,245.151,207.657,218.836,206.105
162,Estimates,Greece,,300,784.047,836.759,791.635,795.923,755.029,775.144,704.579,571.704,551.817,552.855,555.592,596.473,509.145
163,Estimates,Italy,,380,4326.319,4310.646,4718.116,4695.887,4410.047,3676.426,3096.933,2856.392,2759.225,2644.845,2720.173,2801.582,2556.543
164,Estimates,Malta,,470,45.215,40.718,34.919,25.473,26.680,29.446,27.200,27.909,26.194,24.818,20.126,19.385,20.419
165,Estimates,Montenegro,,499,66.716,71.293,71.225,60.279,55.385,53.150,55.520,52.780,48.663,43.466,41.445,40.688,37.417
166,Estimates,Portugal,,620,1021.874,1053.027,1058.580,979.427,886.612,859.732,725.176,599.682,558.629,562.922,563.619,516.582,446.647
167,Estimates,Serbia,20,688,947.125,796.249,752.234,746.579,780.067,812.805,791.654,750.811,672.733,621.309,554.486,496.331,476.043
168,Estimates,Slovenia,,705,156.923,145.538,143.325,140.312,142.890,150.013,141.710,125.641,100.099,91.065,87.580,102.713,108.008
169,Estimates,Spain,21,724,2941.196,3218.354,3317.737,3306.872,3390.421,3232.673,2573.308,2133.610,1965.034,1899.890,2173.275,2425.681,2178.802
170,Estimates,TFYR Macedonia,22,807,243.045,227.283,218.505,223.877,205.764,200.830,202.577,185.859,165.599,139.076,126.730,114.349,117.163
171,Estimates,Western Europe,23,926,12466.379,13120.377,14187.683,13578.699,11320.184,10081.072,10338.526,10485.772,10091.634,9980.738,9783.622,9685.932,9712.254
172,Estimates,Austria,,40,522.023,609.360,668.491,638.923,519.000,437.845,447.278,429.652,456.698,416.565,391.628,386.980,403.513
173,Estimates,Belgium,,56,731.894,774.239,801.641,732.472,662.240,605.542,596.095,591.585,602.936,574.809,576.417,625.636,634.763
174,Estimates,France,,250,4082.073,4061.421,4298.845,4251.877,4158.046,3703.744,3846.472,3810.823,3645.957,3696.239,3837.466,3933.580,3866.151
175,Estimates,Germany,,276,5547.415,6015.125,6612.093,6186.706,4461.224,4057.383,4172.796,4301.331,3967.812,3893.393,3584.544,3393.426,3467.663
